DurationOfPitch,NumberOfFollowups,NumberOfTrips,MonthlyIncome,CityTier,ProductPitched,PreferredPropertyStar,Passport,PitchSatisfactionScore,Designation,MaritalStatus_Married,MaritalStatus_Unmarried
1.5666910077977176,3.0,4.0,1.7588058573127272,1,3,3.0,0,1,3,True,False
0.20334951054576395,3.0,5.0,-0.9737335074423257,1,0,3.0,0,3,2,False,True
-0.2924110339094919,4.0,4.0,-0.4787986757743633,1,2,3.0,0,5,0,False,True
-1.0360518505923757,4.0,5.0,1.0638373401767207,3,1,3.0,0,2,1,False,False
-0.04453076168186398,6.0,3.0,-0.5443542697247817,1,0,5.0,1,3,2,False,False
-0.41635117002330585,3.0,4.0,0.9992720119959462,3,1,3.0,1,2,1,False,True
-0.16847089779567795,3.0,3.0,-0.4265126431371716,3,2,5.0,0,5,0,True,False
1.0709304633424617,3.0,4.0,1.6417564433408323,3,3,4.0,0,2,3,False,True
-0.2924110339094919,3.0,6.0,-0.23737188113520918,1,2,4.0,0,1,0,False,True
-0.04453076168186398,4.0,3.0,0.266673395613476,3,2,4.0,0,2,0,False,False
1.1948705994562756,2.0,7.0,-1.1460397513603438,1,0,3.0,1,3,2,True,False
-0.7881715783647478,3.0,1.0,-1.0781075195627803,1,0,5.0,0,3,2,False,True
-0.9121117144785618,4.0,2.0,0.19834505750805506,1,2,3.0,0,4,0,False,False
-1.0360518505923757,4.0,3.0,-0.14250442040333483,1,2,5.0,0,5,0,False,False
-0.5402913061371198,5.0,3.0,2.7417436602611454,1,4,3.0,0,3,4,True,False
-1.0360518505923757,4.0,2.0,-0.019711464967505817,3,2,3.0,0,4,0,False,False
-0.7881715783647478,2.0,3.0,-0.1234913176261742,1,2,4.0,0,3,0,False,False
-0.5402913061371198,3.0,1.0,-0.01634456135071696,3,2,5.0,0,1,0,False,True
-0.2924110339094919,3.0,1.0,-0.7939012436750148,3,2,3.0,1,1,0,True,False
-0.9121117144785618,3.0,7.0,-1.0870199114895744,1,0,3.0,1,4,2,True,False
-0.2924110339094919,4.0,6.0,0.3237127039449579,3,2,3.0,0,3,0,False,False
-0.16847089779567795,2.0,3.0,-0.4106683908228711,1,0,4.0,0,1,2,True,False
-0.6642314422509338,4.0,2.0,1.744347977075928,1,1,3.0,0,4,1,True,False
-0.6642314422509338,2.0,4.0,0.07198714530150843,1,2,3.0,1,5,0,False,False
-0.9121117144785618,3.0,7.0,-0.23737188113520918,1,0,3.0,1,5,2,True,False
-0.6642314422509338,4.0,6.0,-0.4962273533200939,1,0,5.0,0,5,2,False,False
-0.7881715783647478,5.0,2.0,-0.43681140714146693,1,0,3.0,0,5,2,True,False
0.9469903272286477,4.0,6.0,-0.4516653936861237,1,0,5.0,1,1,2,True,False
2.186391688366787,1.0,5.0,-0.4255223773675278,3,2,3.0,1,4,0,False,True
-0.9121117144785618,3.0,1.0,0.9909537795309384,1,1,3.0,0,4,1,False,False
-0.6642314422509338,5.0,2.0,-0.39898325474107443,1,0,3.0,1,3,2,True,False
-0.2924110339094919,1.0,5.0,-1.2787353644926107,1,0,3.0,0,4,2,True,False
-0.7881715783647478,5.0,7.0,0.3979826366682416,1,2,3.0,1,2,0,False,True
-1.0360518505923757,5.0,2.0,0.09416909854152915,1,2,5.0,0,2,0,False,True
-0.2924110339094919,3.0,3.0,-0.7659757489710601,1,0,3.0,0,3,2,False,True
0.9469903272286477,4.0,2.0,-0.2621285253763037,1,0,3.0,0,3,2,True,False
-0.2924110339094919,5.0,8.0,0.23062772159844236,1,2,4.0,1,3,0,False,True
-1.1599919867061896,4.0,3.0,0.8321151500800757,3,1,5.0,0,4,1,True,False
0.07940937443194998,3.0,2.0,-0.6057507474426962,3,2,3.0,0,1,0,False,True
-0.7881715783647478,4.0,3.0,-0.5651498508873011,3,0,3.0,0,2,2,False,False
-0.9121117144785618,4.0,6.0,-0.6699199693156133,1,2,3.0,0,1,0,True,False
-0.2924110339094919,3.0,2.0,-0.5104871804029644,1,2,3.0,0,5,0,True,False
2.434271960594415,5.0,2.0,-0.3954182979703568,1,2,4.0,0,1,0,False,False
-1.1599919867061896,3.0,1.0,-1.2658619094872414,1,0,3.0,1,4,2,False,True
-0.6642314422509338,3.0,5.0,-1.1393059441267661,3,0,3.0,0,4,2,True,False
0.20334951054576395,4.0,6.0,1.220695438088296,1,1,3.0,0,1,1,True,False
-0.9121117144785618,4.0,4.0,-0.3494699662588853,1,2,3.0,0,1,0,False,True
-0.16847089779567795,3.0,2.0,-0.23737188113520918,1,0,3.0,0,1,2,True,False
0.32728964665957794,3.0,2.0,-1.1682217046003645,1,0,3.0,0,5,2,False,True
-1.0360518505923757,4.0,2.0,-0.4102722845150136,1,2,3.0,0,1,0,True,False
0.8230501911148338,5.0,2.0,-0.23737188113520918,1,0,5.0,1,4,2,False,True
-0.9121117144785618,3.0,1.0,-1.1846601163764514,1,0,3.0,0,4,2,False,True
-0.04453076168186398,3.0,2.0,-1.1521793991321352,3,0,5.0,0,1,2,False,True
0.20334951054576395,4.0,3.0,-0.38254484296498764,1,0,3.0,1,3,2,False,True
-0.2924110339094919,4.0,3.0,-0.23737188113520918,1,2,3.0,0,1,0,False,True
0.8230501911148338,4.0,2.0,0.002074381964657393,1,2,3.0,1,1,0,True,False
-0.16847089779567795,3.0,2.0,0.4451192873032856,3,1,3.0,0,3,1,True,False
-1.1599919867061896,4.0,7.0,-1.2246668534700602,1,0,5.0,0,3,2,False,True
-0.6642314422509338,4.0,2.0,1.744347977075928,1,1,3.0,0,4,1,True,False
0.4512297827733919,4.0,2.0,0.33856669048961463,3,2,3.0,0,2,0,False,True
1.5666910077977176,2.0,3.0,-0.43364255667860685,3,0,3.0,0,3,2,False,True
0.20334951054576395,3.0,4.0,1.4827197607360407,1,3,3.0,0,3,3,True,False
-0.16847089779567795,4.0,2.0,-0.6764557233952623,1,2,4.0,0,3,0,False,False
-0.2924110339094919,3.0,5.0,1.0137298922327453,1,1,3.0,0,1,1,False,True
0.5751699188872058,0.0,5.0,-0.714878035257441,3,2,3.0,0,3,0,True,False
-0.2924110339094919,2.0,5.0,-0.753894506581406,1,0,3.0,0,3,2,False,True
2.434271960594415,2.0,6.0,-0.025455006431439754,1,0,3.0,0,3,2,False,True
